batch_id,production_date,plant_id,machine_id,glass_type,thickness_mm,furnace_temperature_c,cooling_time_sec,pressure_bar,line_speed_mps,raw_material_quality,operator_shift,operator_experience_years,ambient_humidity_pct,furnace_zone,energy_consumption_kwh,produced_units,scrap_units,rework_units,defect_rate,defect_flag,estimated_scrap_cost_eur,packing_delay_min,downtime_min,shipment_status,co2_emissions_kg
1,2024-04-24,Plant_A,M3,Tempered,7.0,1492.54,60.77,3.52,4.86,0.92,Day,8.7,63.44,Zone_3,737.68,716,5,0,0.0086,0,118.56,4.15,6.13,On-Time,302.45
2,2024-03-30,Plant_C,M4,Float,3.23,1501.89,56.53,2.31,8.5,0.94,Day,6.3,64.85,Zone_1,690.6,664,7,0,0.0115,0,117.66,11.8,2.4,On-Time,283.15
3,2024-01-28,Plant_C,M2,Solar,4.32,1549.7,53.24,3.3,7.01,0.92,Day,3.8,62.28,Zone_3,775.8,540,2,0,0.0081,0,75.06,5.69,0.0,On-Time,318.08
4,2024-01-07,Plant_A,M4,Laminated,11.82,1513.41,83.44,2.4,6.36,0.93,Day,8.0,70.61,Zone_1,818.93,634,3,0,0.0055,0,92.25,14.54,9.49,On-Time,335.76
5,2024-12-10,Plant_A,M1,Solar,5.31,1525.44,56.17,3.46,7.3,0.83,Day,8.9,49.55,Zone_2,697.09,587,3,0,0.0083,0,110.85,7.22,7.96,On-Time,285.81
6,2024-02-14,Plant_C,M4,Float,6.61,1479.85,43.54,2.28,7.73,0.87,Weekend,2.7,65.0,Zone_2,618.56,633,48,9,0.0877,1,729.86,38.28,36.87,Delayed,253.61
7,2024-10-27,Plant_C,M5,Laminated,6.62,1499.21,101.84,2.91,6.45,0.93,Night,5.5,40.23,Zone_3,995.23,780,26,12,0.0494,1,678.69,27.36,30.1,Delayed,408.04
8,2024-08-21,Plant_B,M1,Tempered,6.82,1511.85,74.76,3.21,6.65,0.84,Weekend,6.8,40.93,Zone_2,1286.51,1166,7,0,0.0077,0,162.32,11.15,13.89,On-Time,527.47
9,2025-01-08,Plant_A,M3,Laminated,8.28,1499.25,82.62,2.94,4.06,0.93,Day,5.9,53.34,Zone_2,1355.98,1122,7,0,0.008,0,218.57,0.32,0.0,On-Time,555.95
10,2024-03-14,Plant_C,M2,Tempered,7.76,1536.0,85.21,3.48,7.18,0.88,Day,3.9,72.17,Zone_2,1056.66,846,7,0,0.0094,0,182.16,0.0,8.57,On-Time,433.23
