batch_id,production_date,plant_id,machine_id,glass_type,thickness_mm,furnace_temperature_c,cooling_time_sec,pressure_bar,line_speed_mps,raw_material_quality,operator_shift,energy_consumption_kwh,produced_units,defect_rate,defect_flag,packing_delay_min,shipment_status
1,2024-01-27,Plant_A,M2,Laminated,5.75,1444.41,44.04,1.23,8.8,0.88,Day,1208.07,257,0.0,0,58.19,Delayed
2,2024-08-14,Plant_B,M3,Laminated,10.32,1515.95,49.11,1.73,2.65,0.79,Day,1024.76,830,0.0,0,17.47,Delayed
3,2024-04-13,Plant_A,M2,Tempered,8.12,1478.6,62.97,2.82,8.07,0.76,Day,1014.23,857,0.0,0,2.79,On-Time
4,2024-02-02,Plant_B,M1,Float,8.08,1462.88,45.35,1.26,9.54,0.99,Night,1308.4,525,0.0,0,5.86,Delayed
5,2024-06-09,Plant_A,M2,Tempered,8.84,1448.92,74.57,1.14,9.18,0.78,Day,1162.52,351,0.0,0,31.2,Delayed
6,2024-01-20,Plant_B,M4,Float,7.47,1491.91,46.64,4.88,7.98,0.98,Night,1394.83,910,0.0,0,55.31,Delayed
7,2024-09-08,Plant_A,M3,Laminated,2.88,1449.55,54.42,4.31,4.21,0.78,Day,1042.7,670,0.023,1,48.13,Delayed
8,2024-03-06,Plant_B,M1,Laminated,2.75,1420.84,118.82,4.09,2.79,0.7,Day,1315.46,696,0.0,0,43.74,On-Time
9,2024-10-07,Plant_A,M4,Laminated,9.71,1489.64,40.43,4.45,6.61,0.8,Day,563.56,559,0.0,0,19.51,Delayed
10,2024-01-19,Plant_B,M3,Laminated,9.3,1468.83,87.38,4.55,5.25,0.74,Night,1213.24,766,0.0,0,33.68,Delayed
11,2024-06-03,Plant_A,M2,Tempered,9.71,1668.61,68.48,1.1,1.97,0.71,Day,1136.41,451,0.038,1,30.51,On-Time
12,2024-05-17,Plant_B,M2,Float,11.08,1453.98,52.44,2.64,7.8,0.77,Day,576.98,284,0.0,0,9.67,Delayed
13,2024-10-31,Plant_A,M4,Laminated,11.3,1525.07,108.43,4.21,2.68,0.97,Day,1039.34,352,0.083,1,53.77,Delayed
14,2024-07-10,Plant_A,M1,Laminated,5.18,1557.91,39.9,1.91,4.84,0.95,Night,1360.73,972,0.0,0,30.64,Delayed
15,2024-12-04,Plant_B,M4,Tempered,6.17,1480.22,60.39,4.77,3.91,0.86,Day,1203.02,478,0.043,1,58.31,On-Time
16,2024-12-26,Plant_A,M3,Float,11.62,1485.54,52.66,2.99,3.71,0.79,Night,536.89,977,0.065,1,30.16,Delayed
17,2024-04-25,Plant_B,M3,Tempered,2.51,1523.89,51.56,1.58,5.41,1.0,Night,742.06,778,0.0,0,45.7,On-Time
18,2024-02-12,Plant_A,M4,Laminated,4.38,1487.05,95.54,2.47,6.69,0.89,Night,1035.77,770,0.0,0,50.12,Delayed
19,2024-01-29,Plant_B,M3,Laminated,5.21,1585.33,31.49,3.05,3.04,0.89,Night,674.37,809,0.072,1,23.2,Delayed
